ID,IMSI,IMEI,Citizenship No.,First Name,Last Name,Gender,DOB,Age,Maritial status,Phone no ,Type,Zone,Development Region,District,Latitude,Longitude,E-mail,Subscription date,Start date,End date,SMS,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Total_calls,Total_charge
1,'429013397502733,'197079558586423,415934764,Eugene,Hicks,Male,8/19/2000,17,0,9851742119,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Eugene.Hicks@gmail.com,2/11/2016,20160101,20160129,7,59,16.42,98,26.81,117,7.35,274,50.58
2,'429013543955265,'942336693619342,155868861,Jerry,Franklin,Male,5/5/1989,28,0,9847551169,PREPAID,seti,Far-Western,Bajhang ,29.7767 N,81.2519 E,Jerry.Franklin@hotmail.com,11/24/2012,20160101,20160117,12,110,45.07,99,16.78,91,11.01,300,72.86
3,'429016609723158,'239588040648425,812929078,Louis,Stanley,Male,4/24/1988,29,1,9848680243,PREPAID,Lumbini,Western,Rupandehi ,27.6264 N,83.3789 E,Louis.Stanley@hotmail.com,8/29/2016,20160101,20160110,0,103,38.98,126,15.08,95,8.52,324,62.58
4,'429017870209733,'214337747883644,250576958,Phyllis,Thomas,Female,6/15/1982,35,1,9842599008,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Phyllis.Thomas@gmail.com,7/1/2010,20160101,20160115,0,75,12.36,117,17.73,71,2.96,263,33.05
5,'429011615844029,'803810171179548,172693218,Lois,Adams,Female,5/24/1999,18,0,9845305364,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Lois.Adams@yahoo.com,10/1/2015,20160101,20160130,0,112,36.92,89,20.97,89,10.17,290,68.06
6,'429014591651041,'205932664250383,186069711,David,Schmidt,Male,1/27/1993,24,0,9845532766,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,David.Schmidt@gmail.com,10/22/2009,20160101,20160123,0,95,25.74,97,12.95,109,11.25,301,49.94
7,'429014537980762,'592479559026394,668102853,Andrew,Gardner,Male,2/30/1973,44,1,9844452295,PREPAID,koshi,Eastern,Dhankuta,26.9835 N,87.3215 E,Andrew.Gardner@gmail.com,9/19/2009,20160101,20160118,8,112,31.64,66,16.17,57,12.73,235,60.54
8,'429017166190268,'327520307178504,773829606,Keith,Jacobs,Male,12/7/1977,40,1,9851956224,POSTPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Keith.Jacobs@gmail.com,4/18/2005,20160101,20160115,0,80,25.28,94,22.02,107,6.73,281,54.03
9,'429016616039418,'115864695464906,696250260,Christopher,Lewis,Male,10/1/1985,32,1,9847478732,PREPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Christopher.Lewis@gmail.com,10/30/2011,20160101,20160128,0,58,20.55,88,19.98,130,4.28,276,44.81
10,'429016102944156,'166142381830983,869918669,Sharon,Flores,Female,4/13/1987,30,1,9848656802,PREPAID,Janakpur,Central,Dholkha,27.7784 N,86.1752 E,Sharon.Flores@gmail.com,1/3/2003,20160101,20160114,0,123,28.15,95,11.57,90,7.91,308,47.63
11,'429015804156314,'367585261720986,389071315,Janet,Russell,Female,3/25/1997,20,0,9841628873,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Janet.Russell@gmail.com,1/9/2013,20160101,20160129,0,104,42.74,89,19.13,121,11.34,314,73.21
12,'429015445334509,'240185152842130,629262957,Jessica,Shaw,Female,3/6/1992,25,1,9848092694,PREPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Jessica.Shaw@gmail.com,10/6/2015,20160101,20160115,0,111,10.64,126,15.35,80,9.98,317,35.97
13,'429011609657527,'343161973797206,778456836,Albert,Johnston,Male,9/7/1976,41,1,9845930534,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Albert.Johnston@yahoo.com,8/10/2011,20160101,20160127,6,52,34.24,104,19.5,106,11.36,262,65.1
14,'429018642799570,'688918191626137,353891023,Harry,Roberts,Male,2/25/1953,64,1,9851307421,POSTPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Harry.Roberts@gmail.com,7/29/2013,20160101,20160116,0,114,28.22,103,14.83,68,11.02,285,54.07
15,'429018882949609,'355058452803323,431171534,Ernest,Mitchell,Male,7/12/1998,19,0,9851327726,POSTPAID,Lumbini,Western,Gulmi,28.0889 N,83.2934 E,Ernest.Mitchell@yahoo.com,11/23/2016,20160101,20160125,0,77,14.59,110,14.05,92,8.03,279,36.67
16,'429013337466968,'221853143707248,529675135,Earl,Cole,Male,1/15/1981,36,1,9841652000,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Earl.Cole@gmail.com,12/6/2016,20160101,20160116,0,88,30.6,77,12.33,120,10.52,285,53.45
17,'429014214532636,'291295922367879,733227265,Phyllis,Payne,Female,5/25/1999,18,0,9851111947,POSTPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Phyllis.Payne@gmail.com,11/23/2015,20160101,20160112,6,121,33,110,15.01,136,13.63,367,61.64
18,'429014030336988,'687482851688000,144443093,Wanda,Hunt,Female,6/13/1979,38,1,9845637176,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Wanda.Hunt@gmail.com,10/8/2015,20160101,20160129,0,109,40.09,94,13.36,99,8.47,302,61.92
19,'429019418271457,'351351528602011,796695165,Earl,Henderson,Male,10/26/1967,50,1,9846628522,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Earl.Henderson@gmail.com,3/4/2014,20160101,20160128,0,83,21.15,81,15.27,99,11.39,263,47.81
20,'429018337997032,'231608559140761,176619521,James,Carroll,Male,4/21/1935,82,1,9844801825,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,James.Carroll@yahoo.com,4/6/2016,20160101,20160124,0,105,37.71,85,13.74,62,10.25,252,61.7
